Group	z	mean_mu	features
HCG 1	0.033952		1
HCG 2	0.014506999999999999	27.589242857029266	1
HCG 3	0.026031		1
HCG 5	0.040764999999999996	27.01945117084977	1
HCG 7	0.01395	28.283606622723326	1
HCG 8	0.054002499999999995	26.07672567253305	1
HCG 12	0.048263	26.74079842371625	1
HCG 13	0.041592000000000004	26.51878086972096	1
HCG 17	0.060105	25.98265788647741	1
HCG 18	0.013693	26.499388560574985	1
HCG 20	0.048113	26.375779158338627	1
HCG 25	0.021087	27.18398867770714	1
HCG 35	0.0543355	25.73794637603001	1
HCG 37	0.022515	26.027000515744422	1
HCG 44	0.004607	26.92137812086037	1
HCG 59	0.013706	26.880093933520804	1
HCG 69	0.02932	26.393697002563066	1
HCG 71	0.030836000000000002	27.59646545309433	0
HCG 72	0.04332	26.37221601049931	1
HCG 74	0.039948000000000004	25.82293972868336	1
HCG 76	0.034004	26.88906297656805	0
HCG 78	0.031835	27.32269992603484	1
HCG 80	0.031118	27.01188499246912	1
HCG 81	0.049841	26.66962697875684	1
HCG 82	0.0360645	26.63577745562475	1
HCG 84	0.055552	25.78040452101569	1
HCG 86	0.019657	25.31227541570467	0
HCG 88	0.020138	27.40070109635393	0
HCG 89	0.029569	27.993146540403714	0
HCG 93	0.016418000000000002	27.47716861197513	1
HCG 94	0.042176000000000005	25.84883602405461	1
HCG 95	0.039624	27.27916778860817	1
HCG 96	0.029225499999999998	27.03340315160207	1
HCG 97	0.022232		1
HCG 98	0.026548000000000002	26.05255313239199	1
HCG 100	0.018057499999999997	27.448295777247647	1
